title;keyword;file
0712-Staff-POS-CASH DRAWER-Can not close_VI;0712-Staff-POS-CASH DRAWER-Can not close_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/0712-Staff-POS-CASH%20DRAWER-Can%20not%20close_VI.pptx?d=w04fe88b95eb44549bfbdecabdf24fb7e&csf=1&web=1&e=1bTNkv
0712-Staff-POS-CASH DRAWER-Can not open_VI;0712-Staff-POS-CASH DRAWER-Can not open_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/0712-Staff-POS-CASH%20DRAWER-Can%20not%20open_VI.pptx?d=we1a295d61c1341dd9bdb02d6681b1597&csf=1&web=1&e=4XTkWD
1711-SeftCheckOut-POS-Customer Display-iPAD is freezing status_Lỗi treo IPAD_VI;1711-SeftCheckOut-POS-Customer Display-iPAD is freezing status_Lỗi treo IPAD_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-SeftCheckOut-POS-Customer%20Display-iPAD%20is%20freezing%20status_L%E1%BB%97i%20treo%20IPAD_VI.pptx?d=wb302acd0ff0b4abb946f72f21af97c9a&csf=1&web=1&e=bGUxCO
1711-SeftCheckOut-POS-Customer Display-Pos Application can not detect printer_Lỗi mất kết nối máy in_VI;1711-SeftCheckOut-POS-Customer Display-Pos Application can not detect printer_Lỗi mất kết nối máy in_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-SeftCheckOut-POS-Customer%20Display-Pos%20Application%20can%20not%20detect%20printer_L%E1%BB%97i%20m%E1%BA%A5t%20k%E1%BA%BFt%20n%E1%BB%91i%20m%C3%A1y%20in_VI.pptx?d=wc3228c2df8334258bbd89a3596dcf1c5&csf=1&web=1&e=wAdlFl
1711-SeftCheckOut-POS-Customer Display-Pos Application Disconnected and have a red status at the bottom at the screen_Lỗi mất kết nối_VI;1711-SeftCheckOut-POS-Customer Display-Pos Application Disconnected and have a red status at the bottom at the screen_Lỗi mất kết nối_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-SeftCheckOut-POS-Customer%20Display-Pos%20Application%20Disconnected%20and%20have%20a%20red%20status%20at%20the%20bottom%20at%20the%20screen_L%E1%BB%97i%20m%E1%BA%A5t%20k%E1%BA%BFt%20n%E1%BB%91i_VI.pptx?d=w7164de2e5d4a4009bfa8b2386346b5cd&csf=1&web=1&e=MOQ90x
1711-SeftCheckOut-POS-Introduction_Giới thiệu_VI;1711-SeftCheckOut-POS-Introduction_Giới thiệu_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-SeftCheckOut-POS-Introduction_Gi%E1%BB%9Bi%20thi%E1%BB%87u_VI.pptx?d=wd0a15011eddb45d9907e1319f1b2ccfb&csf=1&web=1&e=foNIdu
1711-Staff-POS-Customer Display-Pos Application Disconnected and have a red status at the bottom at the screen;1711-Staff-POS-Customer Display-Pos Application Disconnected and have a red status at the bottom at the screen;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Customer%20Display-Pos%20Application%20Disconnected%20and%20have%20a%20red%20status%20at%20the%20bottom%20at%20the%20screen.pptx?d=w87829b4566784348986d4ccdb88551ad&csf=1&web=1&e=evDlkL
1711-Staff-POS-Customer Display-Pos Application not shows amount in transaction;1711-Staff-POS-Customer Display-Pos Application not shows amount in transaction;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Customer%20Display-Pos%20Application%20not%20shows%20amount%20in%20transaction.pptx?d=w27489f151dea40eb8691b082f46abcdf&csf=1&web=1&e=PzpJfr
1711-Staff-POS-Introduction_VI;1711-Staff-POS-Introduction_VI;https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Introduction_VI.pptx?d=w1b29117e763443dd81bc0f222de7fab7&csf=1&web=1&e=dtGAKw
1711-Staff-POS-Staff Display-iPAD is freezing status (iPad bị treo);1711-Staff-POS-Staff Display-iPAD is freezing status (iPad bị treo);https://fptsoftware362-my.sharepoint.com/:p:/r/personal/thongndh_fpt_com/Documents/APP%20h%E1%BB%97%20tr%E1%BB%A3%20k%E1%BB%B9%20thu%E1%BA%ADt/t%C3%A0i%20li%E1%BB%87u%20unilo/1711-Staff-POS-Staff%20Display-iPAD%20is%20freezing%20status%20(iPad%20b%E1%BB%8B%20treo).pptx?d=w6068b1f5564a4c06846ac54e29033385&csf=1&web=1&e=FzUdGM
